order_id,order_number,customer_id,transport_id,order_date,seasonal_period,delivery_status,estimated_delivery_date,actual_delivery_date,total_amount,payment_status,claim_flag
14e9c589-52d4-4375-b64b-73cdd2478ddb,ORD-20200110-22597,CUST000016,B0-TR0001,2020-01-10 10:13:34,Post_Christmas,delivered,2020-01-12,2020-01-16,74.53,paid,True
8acebfa8-849d-4784-a2c8-759f4fa60549,ORD-20200110-18520,B7-CUST000008,B1-TR0001,2020-01-10 10:19:36,Post_Christmas,delivered,2020-01-10,2020-01-10,36.28,paid,False
a87e8da7-198f-4c83-892b-6aff6b2bcf3c,ORD-20200110-13541,B20-CUST000011,B0-TR0001,2020-01-10 10:26:14,Post_Christmas,delivered,2020-01-12,2020-01-11,130.73,paid,False
ca94a124-982d-4057-a740-4d57f51d4372,ORD-20200110-43178,B19-CUST000014,B0-TR0001,2020-01-10 10:32:46,Post_Christmas,delivered,2020-01-13,2020-01-12,79.62,paid,False
8e7098f5-44fd-4467-8bc7-f784637399bb,ORD-20200110-18243,CUST000013,B1-TR0001,2020-01-10 17:36:28,Post_Christmas,delivered,2020-01-11,2020-01-10,372.03,paid,False
54e81bab-6c0b-4c48-8c87-67574ff79fd0,ORD-20200111-45382,B11-CUST000011,B0-TR0001,2020-01-11 21:45:46,Post_Christmas,delivered,2020-01-14,2020-01-13,65.94,paid,False
7a9bfde6-bf44-4e0a-8bd9-3e87ccfd78ef,ORD-20200112-43818,CUST000012,B1-TR0003,2020-01-12 13:32:01,Post_Christmas,delivered,2020-01-12,2020-01-12,121.49,paid,False
ce6b6ccf-5afb-4d76-8ebd-3b65c4444a9f,ORD-20200112-68028,CUST000003,B0-TR0001,2020-01-12 15:00:13,Post_Christmas,delivered,2020-01-14,2020-01-16,101.13,paid,True
21a438ba-0e57-4df0-81ba-dec5b388508c,ORD-20200112-12474,B31-CUST000006,B1-TR0001,2020-01-12 22:47:38,Post_Christmas,delivered,2020-01-13,2020-01-13,56.52,paid,False
1195c3a2-6473-4cb0-8889-b6c298ceb13a,ORD-20200113-80185,CUST000014,B1-TR0003,2020-01-13 06:24:01,Post_Christmas,delivered,2020-01-13,2020-01-13,84.62,paid,False
121b1b9f-8f64-4353-9400-8fc9addfbbac,ORD-20200113-71171,CUST000004,B0-TR0003,2020-01-13 08:05:32,Post_Christmas,delivered,2020-01-13,2020-01-13,54.46,paid,False
a161e342-fc33-4843-8698-192ad3987ec4,ORD-20200113-94271,CUST000004,B0-TR0001,2020-01-13 09:21:09,Post_Christmas,delivered,2020-01-15,2020-01-24,87.02,paid,True
3e21e413-a90c-4401-a19d-ea601f7ef6e2,ORD-20200113-17609,CUST000015,B0-TR0001,2020-01-13 10:16:02,Post_Christmas,delivered,2020-01-15,2020-01-14,64.27,paid,False
de8a50b5-1245-4b47-8058-9c1f9f6f9638,ORD-20200113-29994,B19-CUST000014,B0-TR0003,2020-01-13 21:11:20,Post_Christmas,shipped,2020-01-14,,31.85,paid,False
addb7f22-5269-47d3-811a-7f6cd3c61ee3,ORD-20200113-34229,B11-CUST000014,B0-TR0001,2020-01-13 21:11:58,Post_Christmas,delivered,2020-01-16,2020-01-15,95.73,paid,False
fe6a0049-acab-423f-9811-6e583cccc72f,ORD-20200114-79973,B11-CUST000017,B0-TR0003,2020-01-14 01:56:07,Post_Christmas,delivered,2020-01-14,2020-01-14,459.11,paid,False
4b6d08ae-7587-4a55-9a44-0dac431ba247,ORD-20200114-19715,CUST000012,B0-TR0002,2020-01-14 08:56:39,Post_Christmas,delivered,2020-01-15,2020-01-14,57.95,paid,True
b28c500b-3df5-491e-9fb5-b6b7f09cd546,ORD-20200114-70084,CUST000010,B1-TR0002,2020-01-14 10:39:21,Post_Christmas,delivered,2020-01-16,2020-01-16,50.51,paid,False
31b8b414-e969-478b-ac30-3de7eb3b8776,ORD-20200114-98012,B37-CUST000018,B0-TR0003,2020-01-14 10:43:58,Post_Christmas,delivered,2020-01-14,2020-01-14,109.08,paid,False
bb2d72a6-c936-46fe-a587-b6b0a77ad842,ORD-20200115-27690,B13-CUST000108,B0-TR0002,2020-01-15 12:36:18,Post_Christmas,delivered,2020-01-16,2020-01-16,73.93,paid,False
ac5baf27-4ad0-45d6-a85e-21ef8334b8ea,ORD-20200115-22011,CUST000014,B1-TR0001,2020-01-15 12:49:13,Post_Christmas,delivered,2020-01-15,2020-01-15,27.96,paid,False
9b367bcd-6fa9-4a8c-9a47-617aeb918cfd,ORD-20200116-43063,B42-CUST000020,B1-TR0003,2020-01-16 13:22:33,Normal,delivered,2020-01-16,2020-01-22,40.77,paid,False
609ccaf1-8191-4278-99f1-3c43c0566e3e,ORD-20200116-18285,B3-CUST000003,B0-TR0003,2020-01-16 15:38:24,Normal,delivered,2020-01-16,2020-01-16,146.42,paid,False
